claim_id_1,claim_id_2,similarity_score,duplicate_type,matching_fields,days_diff,amount_similarity,invoice_similarity,vehicle_similarity,claimant_similarity,fraud_1,fraud_2
CLM00107,CLM00140,0.3899,SIMILAR,"claimant_id, close_date_30d, city",27,0.1333,0.0,0.1,1.0,0,0
CLM00052,CLM00277,0.3898,NO_MATCH,"close_date_30d, close_amount_10pct, city, claim_type",28,0.9409,0.0,0.0,0.2359,0,0
CLM00099,CLM00169,0.3897,NO_MATCH,"close_date_30d, exact_amount, claim_type",16,0.9903,0.0,0.1,0.2359,0,0
CLM00093,CLM00111,0.3896,NO_MATCH,"close_date_30d, claim_type",12,0.8984,0.0,0.1,0.2359,0,1
CLM00034,CLM00178,0.3896,NO_MATCH,"close_date_7d, claim_type",1,0.6544,0.0,0.1,0.2205,1,0
CLM00238,CLM00285,0.3895,NO_MATCH,"provider_id, close_date_7d, city",5,0.808,0.3,0.1,0.2359,0,0
CLM00218,CLM00236,0.3894,SIMILAR,"claimant_id, exact_amount, city",95,0.9626,0.0,0.1,1.0,0,0
CLM00065,CLM00215,0.3894,NO_MATCH,"close_date_7d, close_amount_10pct, claim_type",2,0.9365,0.0,0.1,0.2359,0,1
CLM00038,CLM00190,0.3894,SIMILAR,"claimant_id, exact_amount, city",184,0.9682,0.0,0.1,1.0,0,0
CLM00241,CLM00255,0.3894,NO_MATCH,"close_date_30d, city, claim_type",14,0.441,0.0,0.1,0.2359,0,0
CLM00211,CLM00269,0.3893,SIMILAR,"claimant_id, city",78,0.6622,0.0,0.1,1.0,0,0
CLM00027,CLM00159,0.3893,NO_MATCH,"close_date_7d, city",1,0.6904,0.0,0.1,0.2513,0,0
CLM00052,CLM00142,0.3893,NO_MATCH,"close_date_30d, city, claim_type",21,0.761,0.0,0.0,0.2359,0,1
CLM00111,CLM00303,0.3892,NO_MATCH,"close_date_7d, claim_type",1,0.5934,0.0,0.1,0.2513,1,0
CLM00199,CLM00257,0.3892,NO_MATCH,"close_date_30d, city, claim_type",11,0.6431,0.0,0.1,0.2513,0,1
CLM00033,CLM00278,0.3891,NO_MATCH,"close_date_30d, close_amount_10pct, claim_type",15,0.9376,0.0,0.1,0.2513,1,0
CLM00061,CLM00131,0.3891,NO_MATCH,"close_date_7d, city",5,0.7779,0.0,0.1,0.2513,0,0
CLM00169,CLM00186,0.3889,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",25,0.9708,0.0,0.1,0.2513,0,0
CLM00010,CLM00193,0.3889,SIMILAR,"claimant_id, city",101,0.8033,0.0,0.0,1.0,1,1
CLM00071,CLM00240,0.3888,SIMILAR,"policy_id, close_date_7d",5,0.2655,0.0,0.0,0.2359,0,0
CLM00132,CLM00294,0.3888,NO_MATCH,"close_date_30d, close_amount_10pct, claim_type",9,0.9293,0.0,0.0,0.2513,0,0
CLM00093,CLM00295,0.3887,NO_MATCH,"close_date_30d, exact_amount, claim_type",9,0.9547,0.0,0.0,0.2359,0,1
CLM00107,CLM00237,0.3885,SIMILAR,"claimant_id, city",191,0.8044,0.0,0.0,1.0,0,0
CLM00139,CLM00241,0.3885,NO_MATCH,"close_date_7d, exact_amount, city",5,0.9573,0.0,0.0,0.2359,0,0
CLM00074,CLM00214,0.3884,SIMILAR,"claimant_id, close_amount_10pct, city",161,0.9489,0.0,0.1,1.0,0,1
CLM00204,CLM00250,0.3884,SIMILAR,"vehicle_id, city",31,0.0965,0.0,1.0,0.2359,0,0
CLM00122,CLM00246,0.3884,NO_MATCH,"close_date_7d, close_amount_10pct, claim_type",7,0.9063,0.0,0.0,0.2359,0,0
CLM00175,CLM00218,0.3884,NO_MATCH,"close_date_30d, close_amount_10pct, claim_type",8,0.9308,0.0,0.0,0.2359,0,0
CLM00035,CLM00130,0.3884,NO_MATCH,"close_date_30d, claim_type",10,0.7957,0.0,0.1,0.2513,0,0
CLM00166,CLM00269,0.3882,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",25,0.9736,0.0,0.1,0.2513,0,0
CLM00019,CLM00196,0.3882,NO_MATCH,"close_date_30d, city, claim_type",9,0.7402,0.0,0.0,0.2359,1,0
CLM00029,CLM00222,0.3881,SIMILAR,"claimant_id, city, claim_type",109,0.1958,0.0,0.0,1.0,0,0
CLM00081,CLM00320,0.3879,SIMILAR,"vehicle_id, close_date_30d",29,0.5569,0.0,1.0,0.2359,0,0
CLM00298,CLM00317,0.3879,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",17,0.9607,0.0,0.0,0.2359,0,0
CLM00221,CLM00266,0.3878,SIMILAR,"vehicle_id, close_date_30d, city",21,0.1506,0.0,1.0,0.2359,1,0
CLM00049,CLM00082,0.3878,NO_MATCH,"provider_id, city, claim_type",32,0.695,0.3,0.0,0.2513,0,0
CLM00077,CLM00080,0.3878,NO_MATCH,"close_date_7d, city",2,0.7261,0.0,0.1,0.2359,1,1
CLM00062,CLM00091,0.3877,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d",13,0.42,0.0,1.0,0.2513,0,1
CLM00044,CLM00050,0.3877,SIMILAR,"invoice_id, close_amount_10pct, city",44,0.9253,1.0,0.0,0.2359,0,1
CLM00026,CLM00080,0.3876,NO_MATCH,"close_date_7d, exact_amount, city",1,0.9997,0.0,0.1,0.2359,0,1
CLM00202,CLM00276,0.3876,SIMILAR,"invoice_id, close_date_30d",15,0.8478,1.0,0.1,0.2359,0,0
CLM00024,CLM00163,0.3875,NO_MATCH,"close_date_30d, exact_amount, claim_type",17,0.972,0.0,0.1,0.2513,0,0
CLM00109,CLM00131,0.3874,NO_MATCH,"close_date_7d, claim_type",3,0.765,0.0,0.0,0.2513,0,0
CLM00156,CLM00319,0.3873,SIMILAR,"policy_id, close_date_7d",5,0.2147,0.0,0.0,0.2513,1,0
CLM00066,CLM00149,0.3873,SIMILAR,"claimant_id, city",181,0.7971,0.0,0.0,1.0,0,0
CLM00206,CLM00291,0.3873,NO_MATCH,"close_date_7d, claim_type",7,0.865,0.0,0.0,0.2513,0,0
CLM00024,CLM00262,0.3872,NO_MATCH,"exact_date, claim_type",0,0.7144,0.0,0.0,0.2359,0,0
CLM00036,CLM00147,0.3872,SIMILAR,"policy_id, close_date_30d, city",21,0.1495,0.0,0.0,0.2359,0,0
CLM00106,CLM00252,0.387,SIMILAR,"claimant_id, city",44,0.2481,0.0,0.1,1.0,0,0
CLM00018,CLM00058,0.3868,NO_MATCH,"close_date_30d, city, claim_type",9,0.4317,0.0,0.0,0.2359,1,1
CLM00017,CLM00318,0.3867,SIMILAR,"policy_id, close_date_7d",3,0.1541,0.0,0.0,0.2513,0,1
CLM00224,CLM00311,0.3867,NO_MATCH,"close_date_30d, city, claim_type",20,0.8742,0.0,0.1,0.2359,0,0
CLM00298,CLM00300,0.3867,NO_MATCH,"close_date_7d, city",3,0.7185,0.0,0.1,0.2513,0,0
CLM00003,CLM00305,0.3866,SIMILAR,"claimant_id, close_amount_10pct, city",192,0.9262,0.0,0.1,1.0,0,0
CLM00052,CLM00287,0.3866,NO_MATCH,"exact_amount, city, claim_type",31,0.9836,0.0,0.0,0.2359,0,0
CLM00006,CLM00262,0.3866,SIMILAR,policy_id,37,0.8788,0.0,0.1,0.2359,0,0
CLM00058,CLM00114,0.3866,NO_MATCH,"close_date_30d, exact_amount, claim_type",11,0.9931,0.0,0.0,0.2359,1,1
CLM00157,CLM00212,0.3865,NO_MATCH,"close_date_7d, city, claim_type",1,0.2067,0.0,0.0,0.2513,0,1
CLM00076,CLM00268,0.3865,NO_MATCH,"close_date_7d, claim_type",5,0.8324,0.0,0.0,0.2359,0,0
CLM00054,CLM00193,0.3865,SIMILAR,"claimant_id, city",128,0.6393,0.0,0.1,1.0,1,1
CLM00038,CLM00123,0.3865,SIMILAR,"policy_id, close_date_30d, city",25,0.2332,0.0,0.0,0.2359,0,0
CLM00109,CLM00209,0.3865,SIMILAR,"policy_id, close_amount_10pct, city",53,0.928,0.0,0.0,0.2359,0,0
CLM00099,CLM00175,0.3864,SIMILAR,"invoice_id, provider_id, close_date_7d",7,0.7922,1.0,0.0,0.2359,0,0
CLM00123,CLM00189,0.3864,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",25,0.986,0.0,0.1,0.2359,0,0
CLM00125,CLM00224,0.3863,NO_MATCH,"provider_id, close_date_7d, city",7,0.6548,0.3,0.0,0.2513,0,0
CLM00078,CLM00193,0.3863,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",30,0.9654,0.0,0.0,0.2359,0,1
CLM00027,CLM00313,0.3862,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d",13,0.4394,0.0,1.0,0.2359,0,0
CLM00072,CLM00080,0.386,NO_MATCH,"close_date_7d, claim_type",2,0.7585,0.0,0.0,0.2359,0,1
CLM00069,CLM00077,0.386,NO_MATCH,"close_date_30d, city, claim_type",14,0.8583,0.0,0.0,0.2359,0,1
CLM00042,CLM00311,0.386,SIMILAR,policy_id,32,0.7621,0.0,0.1,0.2359,0,0
CLM00154,CLM00198,0.386,NO_MATCH,"close_date_7d, claim_type",2,0.8763,0.0,0.1,0.2513,0,1
CLM00114,CLM00255,0.3859,SIMILAR,vehicle_id,40,0.8159,0.0,1.0,0.2359,1,0
CLM00082,CLM00270,0.3856,SIMILAR,"claimant_id, city",36,0.4708,0.0,0.0,1.0,0,0
CLM00102,CLM00191,0.3856,NO_MATCH,"close_date_7d, city, claim_type",1,0.5283,0.0,0.0,0.2359,0,0
CLM00115,CLM00282,0.3856,NO_MATCH,"provider_id, close_date_30d, claim_type",10,0.6325,0.3,0.0,0.2513,1,1
CLM00111,CLM00286,0.3855,NO_MATCH,"close_date_7d, claim_type",4,0.7806,0.0,0.0,0.2513,1,0
CLM00207,CLM00229,0.3855,NO_MATCH,"close_date_7d, city, claim_type",7,0.6771,0.0,0.0,0.2359,1,0
CLM00169,CLM00178,0.3855,NO_MATCH,"provider_id, city, claim_type",32,0.7019,0.3,0.0,0.2359,0,0
CLM00058,CLM00145,0.3854,SIMILAR,"vehicle_id, city",81,0.7965,0.0,1.0,0.2359,1,1
CLM00204,CLM00235,0.3854,NO_MATCH,"close_date_30d, city, claim_type",14,0.8203,0.0,0.0,0.2513,0,0
CLM00002,CLM00277,0.3854,NO_MATCH,"provider_id, close_date_30d, exact_amount, city",8,0.9615,0.3,0.0,0.2513,0,0
CLM00178,CLM00273,0.3853,SIMILAR,"claimant_id, city",87,0.7722,0.0,0.0,1.0,0,0
CLM00026,CLM00294,0.3853,NO_MATCH,"close_date_7d, city",2,0.8454,0.0,0.0,0.2359,0,0
CLM00194,CLM00223,0.3853,NO_MATCH,"close_date_30d, city, claim_type",9,0.7042,0.0,0.0,0.2513,0,0
CLM00107,CLM00186,0.3852,SIMILAR,"vehicle_id, city",51,0.874,0.0,1.0,0.2359,0,0
CLM00059,CLM00132,0.3851,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",24,0.984,0.0,0.1,0.2205,0,0
CLM00074,CLM00166,0.3851,NO_MATCH,"exact_date, claim_type",0,0.7348,0.0,0.0,0.2205,0,0
CLM00004,CLM00159,0.3851,NO_MATCH,"provider_id, close_date_30d, exact_amount, claim_type",24,0.9682,0.3,0.0,0.2513,0,0
CLM00257,CLM00312,0.385,NO_MATCH,"close_date_30d, city, claim_type",14,0.3969,0.0,0.1,0.2359,1,0
CLM00021,CLM00180,0.385,NO_MATCH,"close_date_30d, city, claim_type",11,0.4988,0.0,0.0,0.2205,1,1
CLM00050,CLM00312,0.3849,NO_MATCH,"close_date_30d, city, claim_type",16,0.7208,0.0,0.1,0.2513,1,0
CLM00256,CLM00299,0.3849,NO_MATCH,"close_date_7d, claim_type",4,0.7654,0.0,0.0,0.2513,0,0
CLM00006,CLM00079,0.3848,NO_MATCH,"close_date_30d, city, claim_type",9,0.4167,0.0,0.0,0.2359,0,0
CLM00099,CLM00215,0.3848,NO_MATCH,"close_date_30d, claim_type",13,0.8755,0.0,0.1,0.2359,0,1
CLM00073,CLM00293,0.3846,SIMILAR,"policy_id, exact_amount, claim_type",127,0.9885,0.0,0.0,0.2359,1,0
CLM00040,CLM00120,0.3845,SIMILAR,"claimant_id, city",149,0.7598,0.0,0.0,1.0,0,0
CLM00025,CLM00111,0.3845,NO_MATCH,"provider_id, close_date_30d, close_amount_10pct, claim_type",10,0.9478,0.3,0.0,0.2359,0,1
CLM00101,CLM00123,0.3845,SIMILAR,"claimant_id, city",48,0.764,0.0,0.0,1.0,0,0
CLM00068,CLM00320,0.3844,SIMILAR,vehicle_id,32,0.5662,0.0,1.0,0.2513,0,0
CLM00084,CLM00192,0.3844,NO_MATCH,"close_date_7d, city, claim_type",3,0.5405,0.0,0.0,0.2513,0,0
CLM00151,CLM00231,0.3844,NO_MATCH,"close_date_7d, claim_type",6,0.6908,0.0,0.1,0.2359,0,0
CLM00085,CLM00259,0.3843,SIMILAR,"vehicle_id, city",52,0.5858,0.0,1.0,0.2359,1,0
CLM00244,CLM00265,0.3843,NO_MATCH,"close_date_30d, city, claim_type",15,0.7153,0.0,0.1,0.2359,0,0
CLM00232,CLM00234,0.3843,NO_MATCH,"close_date_30d, city, claim_type",11,0.6062,0.0,0.1,0.2359,0,0
CLM00128,CLM00280,0.3841,NO_MATCH,"close_date_30d, city, claim_type",12,0.4785,0.0,0.0,0.2359,0,0
CLM00115,CLM00293,0.3841,NO_MATCH,"close_date_30d, exact_amount, claim_type",12,0.9982,0.0,0.0,0.2359,1,0
CLM00092,CLM00109,0.384,SIMILAR,"claimant_id, close_date_30d, city",23,0.1296,0.0,0.0,1.0,0,0
CLM00082,CLM00200,0.3839,NO_MATCH,"close_date_30d, city, claim_type",28,0.8818,0.0,0.0,0.2359,0,0
CLM00115,CLM00199,0.3839,NO_MATCH,"close_date_30d, city, claim_type",18,0.7553,0.0,0.1,0.2513,1,0
CLM00167,CLM00257,0.3839,NO_MATCH,"close_date_7d, claim_type",5,0.8107,0.0,0.0,0.2359,0,1
CLM00080,CLM00154,0.3838,SIMILAR,"policy_id, exact_amount, claim_type",89,0.991,0.0,0.0,0.2359,1,0
CLM00009,CLM00271,0.3838,NO_MATCH,"exact_amount, city, claim_type",32,0.9857,0.0,0.0,0.2359,0,0
CLM00148,CLM00158,0.3837,SIMILAR,"invoice_id, close_date_30d",8,0.4744,1.0,0.0,0.2359,0,0
CLM00174,CLM00304,0.3837,NO_MATCH,"close_date_7d, city",3,0.89,0.0,0.0,0.2205,0,1
CLM00130,CLM00224,0.3837,NO_MATCH,"close_date_30d, exact_amount, city",8,0.9631,0.0,0.0,0.2513,0,0
CLM00126,CLM00295,0.3836,SIMILAR,"invoice_id, city",42,0.6835,1.0,0.1,0.2359,0,1
CLM00151,CLM00296,0.3836,NO_MATCH,"close_date_7d, claim_type",6,0.8125,0.0,0.0,0.2513,0,0
CLM00016,CLM00232,0.3835,SIMILAR,"invoice_id, close_date_30d, claim_type",19,0.1622,1.0,0.0,0.2359,0,0
CLM00276,CLM00278,0.3835,SIMILAR,"policy_id, close_date_30d",15,0.4474,0.0,0.0,0.2359,0,0
CLM00295,CLM00303,0.3835,NO_MATCH,"close_date_30d, city, claim_type",20,0.6918,0.0,0.0,0.2359,1,0
CLM00012,CLM00271,0.3834,NO_MATCH,"close_date_30d, city, claim_type",9,0.702,0.0,0.0,0.2359,0,0
CLM00007,CLM00256,0.3832,NO_MATCH,"close_date_30d, city, claim_type",17,0.8745,0.0,0.0,0.2513,0,0
CLM00130,CLM00187,0.383,NO_MATCH,"close_date_30d, close_amount_10pct, city, claim_type",17,0.9021,0.0,0.0,0.2359,0,1
CLM00122,CLM00285,0.383,NO_MATCH,"close_date_30d, claim_type",8,0.7268,0.0,0.1,0.2359,0,0
CLM00143,CLM00253,0.3829,NO_MATCH,"provider_id, close_date_7d, exact_amount",1,0.9708,0.3,0.0,0.2513,0,0
CLM00130,CLM00315,0.3829,SIMILAR,"claimant_id, city, claim_type",92,0.4476,0.0,0.0,1.0,0,0
CLM00033,CLM00287,0.3829,NO_MATCH,"close_date_7d, close_amount_10pct, city",5,0.9063,0.0,0.0,0.2359,1,0
CLM00118,CLM00245,0.3828,SIMILAR,"claimant_id, city",135,0.6062,0.0,0.1,1.0,0,1
CLM00179,CLM00295,0.3827,SIMILAR,vehicle_id,33,0.8684,0.0,1.0,0.2513,0,1
CLM00091,CLM00126,0.3827,NO_MATCH,"close_date_30d, exact_amount, claim_type",20,0.9888,0.0,0.1,0.2513,1,0
CLM00215,CLM00259,0.3827,NO_MATCH,"close_date_30d, exact_amount, claim_type",19,0.9895,0.0,0.1,0.2359,1,0
CLM00281,CLM00308,0.3827,NO_MATCH,"close_date_30d, city, claim_type",15,0.5497,0.0,0.0,0.2359,0,0
CLM00259,CLM00271,0.3826,SIMILAR,"claimant_id, city",84,0.7453,0.0,0.0,1.0,0,0
CLM00004,CLM00280,0.3825,NO_MATCH,"close_date_7d, claim_type",5,0.6486,0.0,0.1,0.2359,0,0
CLM00059,CLM00065,0.3825,NO_MATCH,"close_date_30d, exact_amount, city",14,0.9636,0.0,0.1,0.2359,0,0
CLM00184,CLM00229,0.3825,SIMILAR,"vehicle_id, close_date_30d, city",18,0.0316,0.0,1.0,0.2359,0,0
CLM00246,CLM00293,0.3824,SIMILAR,"claimant_id, city",44,0.6426,0.0,0.0,1.0,0,0
CLM00078,CLM00145,0.3824,NO_MATCH,"close_date_7d, city",2,0.6769,0.0,0.1,0.2359,0,1
CLM00058,CLM00287,0.3823,NO_MATCH,"close_date_7d, exact_amount, claim_type",1,0.9908,0.0,0.0,0.2359,1,0
CLM00151,CLM00198,0.3823,NO_MATCH,"close_date_7d, close_amount_10pct, claim_type",5,0.9453,0.0,0.1,0.2359,0,1
CLM00002,CLM00006,0.3823,NO_MATCH,"exact_date, claim_type",0,0.6309,0.0,0.0,0.2513,0,0
CLM00096,CLM00238,0.3822,NO_MATCH,"close_date_30d, city, claim_type",23,0.7189,0.0,0.0,0.2513,1,0
CLM00100,CLM00187,0.3821,NO_MATCH,"close_date_7d, city, claim_type",4,0.3871,0.0,0.1,0.2513,0,1
CLM00063,CLM00085,0.382,SIMILAR,"claimant_id, city",208,0.7396,0.0,0.0,1.0,0,1
CLM00194,CLM00293,0.382,NO_MATCH,"close_date_30d, close_amount_10pct, city",13,0.9119,0.0,0.1,0.2513,0,0
CLM00224,CLM00273,0.382,SIMILAR,"claimant_id, city",110,0.5888,0.0,0.1,1.0,0,0
CLM00075,CLM00302,0.382,NO_MATCH,"close_date_7d, exact_amount, claim_type",7,0.9981,0.0,0.1,0.2359,0,0
CLM00179,CLM00211,0.382,SIMILAR,vehicle_id,34,0.6174,0.0,1.0,0.2359,0,0
CLM00203,CLM00258,0.3819,NO_MATCH,"close_date_7d, close_amount_10pct, claim_type",5,0.9413,0.0,0.1,0.2359,0,0
CLM00162,CLM00215,0.3819,SIMILAR,"invoice_id, close_date_30d",18,0.5659,1.0,0.1,0.2359,0,1
CLM00037,CLM00235,0.3819,NO_MATCH,"close_date_7d, city, claim_type",1,0.0371,0.0,0.1,0.2359,0,0
CLM00097,CLM00247,0.3819,NO_MATCH,"provider_id, close_date_7d, claim_type",4,0.6119,0.3,0.1,0.2359,0,0
CLM00051,CLM00061,0.3815,NO_MATCH,"close_date_30d, claim_type",8,0.8228,0.0,0.0,0.2513,0,0
CLM00172,CLM00226,0.3815,NO_MATCH,"provider_id, exact_amount, claim_type",32,0.9814,0.3,0.1,0.2513,0,0
CLM00042,CLM00223,0.3814,SIMILAR,"vehicle_id, close_date_30d",21,0.2815,0.0,1.0,0.2359,0,0
CLM00038,CLM00146,0.3814,NO_MATCH,"provider_id, close_date_30d, exact_amount, claim_type",26,0.9854,0.3,0.0,0.2513,0,1
CLM00018,CLM00049,0.3813,NO_MATCH,"provider_id, close_date_7d, close_amount_10pct, city",7,0.9365,0.3,0.0,0.2359,1,0
CLM00163,CLM00303,0.3813,NO_MATCH,"close_date_30d, exact_amount, city",8,0.9606,0.0,0.0,0.2359,0,0
CLM00143,CLM00200,0.3813,NO_MATCH,"close_date_7d, close_amount_10pct, claim_type",6,0.939,0.0,0.1,0.2513,0,0
CLM00008,CLM00296,0.3813,SIMILAR,"policy_id, claim_type",95,0.8113,0.0,0.1,0.2359,0,0
CLM00010,CLM00130,0.3813,NO_MATCH,"close_date_30d, city, claim_type",10,0.2465,0.0,0.1,0.2359,1,0
CLM00144,CLM00174,0.3812,SIMILAR,"vehicle_id, close_date_30d",21,0.2746,0.0,1.0,0.2359,0,0
CLM00128,CLM00286,0.3812,NO_MATCH,"close_date_30d, city",9,0.8244,0.0,0.1,0.2359,0,0
CLM00131,CLM00293,0.3811,NO_MATCH,"close_date_7d, claim_type",2,0.8587,0.0,0.1,0.2359,0,0
CLM00059,CLM00103,0.3811,SIMILAR,"invoice_id, exact_amount, city, claim_type",114,0.9943,1.0,0.0,0.2205,0,0
CLM00286,CLM00303,0.3809,NO_MATCH,"close_date_7d, claim_type",5,0.7602,0.0,0.0,0.2513,0,0
CLM00043,CLM00200,0.3809,NO_MATCH,"close_date_30d, city, claim_type",13,0.7555,0.0,0.0,0.2513,0,0
CLM00070,CLM00226,0.3809,NO_MATCH,"close_date_30d, close_amount_10pct, claim_type",18,0.9306,0.0,0.1,0.2513,1,0
CLM00264,CLM00269,0.3809,NO_MATCH,"close_date_30d, city, claim_type",19,0.6218,0.0,0.0,0.2359,0,0
CLM00088,CLM00185,0.3809,NO_MATCH,"close_date_7d, city",2,0.6516,0.0,0.1,0.2359,0,1
CLM00105,CLM00301,0.3808,SIMILAR,"vehicle_id, close_date_30d",21,0.5802,0.0,1.0,0.2359,1,0
CLM00044,CLM00084,0.3808,SIMILAR,vehicle_id,38,0.6966,0.0,1.0,0.2359,0,0
CLM00233,CLM00244,0.3808,SIMILAR,"invoice_id, close_date_30d",30,0.8246,1.0,0.1,0.2513,0,0
CLM00025,CLM00124,0.3808,NO_MATCH,"close_date_30d, exact_amount, claim_type",14,0.9702,0.0,0.0,0.2513,0,0
CLM00127,CLM00134,0.3807,POSSIBLE_DUPLICATE,"vehicle_id, invoice_id",157,0.5539,1.0,1.0,0.2359,1,0
CLM00025,CLM00176,0.3806,NO_MATCH,"close_date_30d, city, claim_type",17,0.8832,0.0,0.0,0.2359,0,0
CLM00061,CLM00217,0.3806,SIMILAR,"vehicle_id, claim_type",105,0.6184,0.0,1.0,0.2513,0,0
CLM00161,CLM00219,0.3806,SIMILAR,"claimant_id, city",244,0.8754,0.0,0.1,1.0,0,0
CLM00062,CLM00314,0.3805,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d",8,0.2268,0.0,1.0,0.2513,0,0
CLM00012,CLM00115,0.3805,NO_MATCH,"close_date_30d, exact_amount, city",9,0.9724,0.0,0.0,0.2359,0,1
CLM00176,CLM00286,0.3805,NO_MATCH,"close_date_7d, claim_type",3,0.7274,0.0,0.0,0.2359,0,0
CLM00062,CLM00177,0.3805,NO_MATCH,"close_date_7d, claim_type",3,0.7016,0.0,0.0,0.2513,0,0
CLM00127,CLM00150,0.3802,SIMILAR,"policy_id, close_date_30d",18,0.4996,0.0,0.0,0.2359,1,0
CLM00162,CLM00285,0.3802,NO_MATCH,"close_date_7d, claim_type",4,0.5688,0.0,0.1,0.2513,0,0
CLM00006,CLM00017,0.3802,NO_MATCH,"close_date_7d, city, claim_type",2,0.0457,0.0,0.1,0.2359,0,0
CLM00246,CLM00296,0.3802,SIMILAR,"claimant_id, city",49,0.7366,0.0,0.0,1.0,0,0
CLM00180,CLM00185,0.3799,NO_MATCH,"close_date_30d, city, claim_type",8,0.3679,0.0,0.0,0.2205,1,1
CLM00046,CLM00224,0.3798,NO_MATCH,"close_date_30d, exact_amount, claim_type",9,0.9853,0.0,0.1,0.2513,0,0
CLM00087,CLM00219,0.3798,NO_MATCH,"close_date_30d, exact_amount, claim_type",11,0.9564,0.0,0.0,0.2205,0,0
CLM00102,CLM00303,0.3797,NO_MATCH,"close_date_30d, exact_amount, city",10,0.963,0.0,0.0,0.2513,0,0
CLM00090,CLM00198,0.3797,SIMILAR,"claimant_id, city, claim_type",117,0.4117,0.0,0.0,1.0,0,1
CLM00151,CLM00154,0.3796,NO_MATCH,"close_date_7d, claim_type",3,0.8283,0.0,0.1,0.2513,0,0
CLM00199,CLM00299,0.3795,NO_MATCH,"close_date_30d, exact_amount, city, claim_type",22,0.9825,0.0,0.0,0.2359,0,0
CLM00136,CLM00179,0.3794,NO_MATCH,"close_date_30d, close_amount_10pct, city",8,0.941,0.0,0.0,0.2359,0,0
CLM00032,CLM00254,0.3794,SIMILAR,"vehicle_id, close_date_30d",20,0.2366,0.0,1.0,0.2359,0,0
CLM00009,CLM00266,0.3794,SIMILAR,"policy_id, close_date_30d, claim_type",30,0.042,0.0,0.1,0.2359,0,0
CLM00207,CLM00209,0.3793,NO_MATCH,"close_date_7d, exact_amount, city",4,0.9811,0.0,0.1,0.2359,1,0
CLM00049,CLM00308,0.3793,NO_MATCH,"close_date_30d, city, claim_type",15,0.6702,0.0,0.1,0.2359,0,0
CLM00071,CLM00175,0.3792,NO_MATCH,"close_date_30d, claim_type",12,0.7537,0.0,0.1,0.2513,0,0
CLM00112,CLM00177,0.3792,NO_MATCH,"close_date_7d, claim_type",1,0.6644,0.0,0.0,0.2359,0,0
CLM00069,CLM00096,0.3792,SIMILAR,"vehicle_id, claim_type",50,0.68,0.0,1.0,0.2359,0,1
CLM00153,CLM00165,0.3792,SIMILAR,"policy_id, claim_type",113,0.8991,0.0,0.0,0.2513,0,0
CLM00079,CLM00225,0.3792,SIMILAR,"policy_id, city",70,0.8948,0.0,0.1,0.2359,0,0
CLM00287,CLM00296,0.3791,NO_MATCH,"close_date_30d, city",11,0.8326,0.0,0.1,0.2513,0,0
CLM00083,CLM00267,0.3791,NO_MATCH,"close_date_7d, claim_type",1,0.6683,0.0,0.0,0.2359,0,0
CLM00153,CLM00224,0.3791,NO_MATCH,"close_date_7d, claim_type",7,0.8233,0.0,0.0,0.2359,0,0
CLM00154,CLM00264,0.379,NO_MATCH,"close_date_7d, exact_amount, claim_type",1,0.9628,0.0,0.0,0.2359,0,0
CLM00126,CLM00209,0.379,NO_MATCH,"close_date_30d, claim_type",9,0.6819,0.0,0.1,0.2513,0,0
CLM00147,CLM00175,0.3789,SIMILAR,"policy_id, close_amount_10pct, claim_type",136,0.9272,0.0,0.0,0.2359,0,0
CLM00098,CLM00186,0.3789,SIMILAR,"invoice_id, close_date_30d",17,0.8067,1.0,0.1,0.2359,0,0
CLM00103,CLM00258,0.3788,NO_MATCH,"provider_id, close_date_30d, city",10,0.6945,0.3,0.0,0.2359,0,0
CLM00043,CLM00166,0.3788,SIMILAR,"claimant_id, city",53,0.837,0.0,0.0,1.0,0,0
CLM00091,CLM00145,0.3788,NO_MATCH,"close_date_30d, city",9,0.8055,0.0,0.1,0.2359,1,1
CLM00231,CLM00264,0.3787,NO_MATCH,"close_date_30d, claim_type",8,0.803,0.0,0.0,0.2513,0,0
CLM00109,CLM00178,0.3786,NO_MATCH,"close_date_30d, close_amount_10pct, claim_type",17,0.9085,0.0,0.1,0.2359,0,0
CLM00120,CLM00265,0.3786,NO_MATCH,"close_date_7d, claim_type",1,0.6582,0.0,0.0,0.2359,0,0
CLM00097,CLM00211,0.3785,NO_MATCH,"close_date_7d, city",4,0.6877,0.0,0.1,0.2359,0,0
CLM00049,CLM00140,0.3785,SIMILAR,"claimant_id, city, claim_type",56,0.3,0.0,0.0,1.0,0,0
CLM00046,CLM00239,0.3784,NO_MATCH,"close_date_7d, city, claim_type",2,0.4865,0.0,0.0,0.2359,0,0
CLM00069,CLM00171,0.3784,NO_MATCH,"close_date_7d, city",6,0.7371,0.0,0.1,0.2359,0,0
