claim_id,claimant_id,policy_id,vehicle_id,provider_id,invoice_id,claim_date,claim_amount,claim_type,status,fraud_label,description
CLM00226,CLT0006,POL0083,VEH0098,PRV004,INV00099,2026-03-07,146619,Accident,Approved,0,Claim description 226
CLM00227,CLT0066,POL0131,VEH0115,PRV016,INV00012,2026-03-17,240479,Fire,Open,0,Claim description 227
CLM00228,CLT0013,POL0043,VEH0002,PRV021,INV00017,2026-02-23,180724,Theft,Rejected,0,Claim description 228
CLM00229,CLT0107,POL0027,VEH0053,PRV018,INV00213,2026-06-29,235329,Natural Disaster,Open,0,Claim description 229
CLM00230,CLT0096,POL0040,VEH0007,PRV015,INV00184,2026-03-26,186036,Glass Damage,Open,1,Claim description 230
CLM00231,CLT0074,POL0059,VEH0067,PRV014,INV00100,2026-04-26,170207,Fire,Open,0,Claim description 231
CLM00232,CLT0050,POL0031,VEH0002,PRV021,INV00185,2026-06-08,21577,Glass Damage,Open,0,Claim description 232
CLM00233,CLT0090,POL0019,VEH0092,PRV017,INV00028,2026-03-16,211278,Glass Damage,Open,0,Claim description 233
CLM00234,CLT0037,POL0113,VEH0098,PRV013,INV00211,2026-06-19,13079,Glass Damage,Under Review,0,Claim description 234
CLM00235,CLT0018,POL0101,VEH0076,PRV021,INV00037,2026-03-18,182547,Fire,Open,0,Claim description 235
CLM00236,CLT0071,POL0037,VEH0032,PRV002,INV00002,2026-05-27,161409,Glass Damage,Open,0,Claim description 236
CLM00237,CLT0040,POL0054,VEH0089,PRV007,INV00106,2026-08-20,174327,Theft,Under Review,0,Claim description 237
CLM00238,CLT0024,POL0057,VEH0065,PRV007,INV00030,2026-02-16,180892,Accident,Rejected,0,Claim description 238
CLM00239,CLT0083,POL0019,VEH0075,PRV022,INV00018,2026-03-06,30743,Glass Damage,Rejected,0,Claim description 239
CLM00240,CLT0043,POL0092,VEH0033,PRV022,INV00168,2026-03-02,31226,Accident,Under Review,0,Claim description 240
CLM00241,CLT0041,POL0125,VEH0116,PRV011,INV00158,2026-06-18,85130,Theft,Approved,0,Claim description 241
CLM00242,CLT0104,POL0081,VEH0110,PRV006,INV00002,2026-03-22,69533,Natural Disaster,Approved,0,Claim description 242
CLM00243,CLT0108,POL0093,VEH0035,PRV022,INV00188,2026-03-26,235132,Natural Disaster,Approved,0,Claim description 243
CLM00244,CLT0100,POL0079,VEH0125,PRV018,INV00028,2026-02-14,174227,Fire,Under Review,0,Claim description 244
CLM00245,CLT0115,POL0138,VEH0051,PRV009,INV00188,2026-08-15,124883,Glass Damage,Open,1,Claim description 245
CLM00246,CLT0105,POL0104,VEH0055,PRV002,INV00142,2026-03-08,147467,Glass Damage,Rejected,0,Claim description 246
CLM00247,CLT0084,POL0039,VEH0094,PRV013,INV00058,2026-08-17,207413,Fire,Under Review,0,Claim description 247
CLM00248,CLT0060,POL0129,VEH0024,PRV013,INV00094,2026-05-09,7776,Glass Damage,Under Review,0,Claim description 248
CLM00249,CLT0097,POL0132,VEH0036,PRV015,INV00041,2026-02-15,153467,Theft,Rejected,0,Claim description 249
CLM00250,CLT0046,POL0011,VEH0057,PRV025,INV00125,2026-03-01,21478,Theft,Open,0,Claim description 250
CLM00251,CLT0086,POL0053,VEH0093,PRV013,INV00121,2026-08-23,124182,Accident,Approved,0,Claim description 251
CLM00252,CLT0014,POL0134,VEH0071,PRV024,INV00068,2026-05-29,147698,Natural Disaster,Rejected,0,Claim description 252
CLM00253,CLT0047,POL0020,VEH0065,PRV013,INV00058,2026-05-13,111389,Fire,Rejected,0,Claim description 253
CLM00254,CLT0102,POL0124,VEH0002,PRV017,INV00036,2026-04-23,48412,Glass Damage,Approved,0,Claim description 254
CLM00255,CLT0028,POL0039,VEH0048,PRV006,INV00093,2026-06-04,193036,Theft,Rejected,0,Claim description 255
CLM00256,CLT0104,POL0085,VEH0030,PRV016,INV00173,2026-05-03,130572,Theft,Rejected,0,Claim description 256
CLM00257,CLT0003,POL0063,VEH0012,PRV005,INV00147,2026-06-01,270016,Theft,Open,1,Claim description 257
CLM00258,CLT0022,POL0067,VEH0047,PRV017,INV00104,2026-06-03,152745,Fire,Open,0,Claim description 258
CLM00259,CLT0028,POL0115,VEH0121,PRV016,INV00044,2026-02-26,222674,Theft,Under Review,0,Claim description 259
CLM00260,CLT0080,POL0131,VEH0068,PRV006,INV00186,2026-06-25,94829,Glass Damage,Open,0,Claim description 260
CLM00261,CLT0030,POL0097,VEH0099,PRV005,INV00028,2026-01-05,58044,Glass Damage,Rejected,0,Claim description 261
CLM00262,CLT0106,POL0039,VEH0025,PRV006,INV00122,2026-08-19,166152,Glass Damage,Open,0,Claim description 262
CLM00263,CLT0012,POL0124,VEH0034,PRV020,INV00139,2026-07-31,5314,Natural Disaster,Rejected,0,Claim description 263
CLM00264,CLT0048,POL0012,VEH0110,PRV008,INV00206,2026-05-04,211977,Fire,Open,0,Claim description 264
CLM00265,CLT0055,POL0035,VEH0066,PRV016,INV00197,2026-03-01,243573,Fire,Rejected,0,Claim description 265
CLM00266,CLT0033,POL0049,VEH0002,PRV023,INV00191,2026-07-22,6864,Accident,Open,0,Claim description 266
CLM00267,CLT0049,POL0053,VEH0081,PRV014,INV00093,2026-01-28,45574,Glass Damage,Approved,0,Claim description 267
CLM00268,CLT0034,POL0138,VEH0109,PRV019,INV00094,2026-06-06,77236,Natural Disaster,Under Review,0,Claim description 268
CLM00269,CLT0053,POL0124,VEH0046,PRV012,INV00144,2026-05-23,131814,Fire,Approved,0,Claim description 269
CLM00270,CLT0100,POL0102,VEH0036,PRV022,INV00031,2026-07-11,65233,Theft,Open,0,Claim description 270
CLM00271,CLT0028,POL0131,VEH0103,PRV011,INV00206,2026-05-21,165963,Accident,Under Review,0,Claim description 271
CLM00272,CLT0050,POL0002,VEH0024,PRV005,INV00121,2026-08-26,162350,Accident,Approved,0,Claim description 272
CLM00273,CLT0029,POL0095,VEH0021,PRV020,INV00010,2026-07-05,105748,Natural Disaster,Approved,0,Claim description 273
CLM00274,CLT0092,POL0015,VEH0045,PRV021,INV00127,2026-04-23,7807,Glass Damage,Approved,0,Claim description 274
CLM00275,CLT0025,POL0009,VEH0060,PRV020,INV00044,2026-06-22,14453,Accident,Under Review,0,Claim description 275
CLM00276,CLT0012,POL0071,VEH0103,PRV012,INV00172,2026-04-12,111286,Glass Damage,Open,0,Claim description 276
CLM00277,CLT0095,POL0018,VEH0024,PRV018,INV00073,2026-07-05,222517,Glass Damage,Approved,0,Claim description 277
CLM00278,CLT0045,POL0071,VEH0058,PRV020,INV00050,2026-04-27,248718,Accident,Approved,0,Claim description 278
CLM00279,CLT0023,POL0105,VEH0130,PRV004,INV00144,2026-01-19,136902,Accident,Approved,0,Claim description 279
CLM00280,CLT0113,POL0138,VEH0065,PRV023,INV00114,2026-09-05,103849,Theft,Approved,0,Claim description 280
CLM00281,CLT0100,POL0118,VEH0118,PRV019,INV00008,2026-05-04,35479,Natural Disaster,Under Review,0,Claim description 281
CLM00282,CLT0087,POL0059,VEH0081,PRV014,INV00091,2026-05-13,145417,Theft,Approved,1,Claim description 282
CLM00283,CLT0012,POL0103,VEH0088,PRV003,INV00142,2026-08-27,51788,Fire,Under Review,0,Claim description 283
CLM00284,CLT0115,POL0069,VEH0047,PRV024,INV00175,2026-08-27,243532,Theft,Under Review,0,Claim description 284
CLM00285,CLT0095,POL0062,VEH0068,PRV007,INV00059,2026-02-21,223874,Glass Damage,Approved,0,Claim description 285
CLM00286,CLT0020,POL0028,VEH0031,PRV003,INV00174,2026-09-02,178912,Accident,Open,0,Claim description 286
CLM00287,CLT0109,POL0124,VEH0096,PRV020,INV00081,2026-05-07,240437,Glass Damage,Approved,0,Claim description 287
CLM00288,CLT0063,POL0047,VEH0072,PRV013,INV00057,2026-07-12,230933,Natural Disaster,Open,1,Claim description 288
CLM00289,CLT0065,POL0089,VEH0101,PRV022,INV00199,2026-02-14,124851,Glass Damage,Rejected,0,Claim description 289
CLM00290,CLT0041,POL0003,VEH0004,PRV022,INV00054,2026-04-08,188078,Theft,Approved,1,Claim description 290
CLM00291,CLT0031,POL0069,VEH0121,PRV020,INV00088,2026-04-04,53211,Theft,Rejected,0,Claim description 291
CLM00292,CLT0090,POL0096,VEH0094,PRV013,INV00072,2026-04-26,52156,Glass Damage,Under Review,0,Claim description 292
CLM00293,CLT0105,POL0026,VEH0070,PRV008,INV00143,2026-04-21,229476,Theft,Under Review,0,Claim description 293
CLM00294,CLT0061,POL0003,VEH0046,PRV014,INV00128,2026-02-04,239165,Glass Damage,Approved,0,Claim description 294
CLM00295,CLT0101,POL0125,VEH0077,PRV009,INV00144,2026-08-08,162819,Accident,Under Review,1,Claim description 295
CLM00296,CLT0105,POL0066,VEH0122,PRV021,INV00025,2026-04-26,200190,Fire,Approved,0,Claim description 296
CLM00297,CLT0072,POL0066,VEH0089,PRV001,INV00106,2026-02-01,97036,Glass Damage,Under Review,0,Claim description 297
CLM00298,CLT0074,POL0138,VEH0045,PRV025,INV00073,2026-04-01,90220,Natural Disaster,Rejected,0,Claim description 298
CLM00299,CLT0114,POL0021,VEH0098,PRV020,INV00074,2026-04-29,170599,Theft,Approved,0,Claim description 299
CLM00300,CLT0054,POL0104,VEH0019,PRV003,INV00042,2026-03-29,64825,Fire,Approved,0,Claim description 300
CLM00301,CLT0078,POL0102,VEH0070,PRV015,INV00200,2026-08-09,100201,Glass Damage,Rejected,0,Claim description 301
CLM00302,CLT0053,POL0043,VEH0048,PRV001,INV00033,2026-07-06,66506,Accident,Under Review,0,Claim description 302
CLM00303,CLT0022,POL0102,VEH0027,PRV004,INV00017,2026-08-28,235343,Accident,Open,0,Claim description 303
CLM00304,CLT0099,POL0102,VEH0022,PRV004,INV00068,2026-06-08,45704,Natural Disaster,Approved,1,Claim description 304
CLM00305,CLT0030,POL0064,VEH0073,PRV015,INV00161,2026-02-02,39413,Theft,Open,0,Claim description 305
CLM00306,CLT0005,POL0092,VEH0084,PRV016,INV00120,2026-09-07,233300,Fire,Rejected,0,Claim description 306
CLM00307,CLT0018,POL0139,VEH0046,PRV019,INV00153,2026-04-27,170425,Glass Damage,Rejected,0,Claim description 307
CLM00308,CLT0068,POL0137,VEH0080,PRV012,INV00124,2026-05-19,64540,Natural Disaster,Approved,0,Claim description 308
CLM00309,CLT0047,POL0106,VEH0067,PRV005,INV00078,2026-01-03,5024,Theft,Approved,0,Claim description 309
CLM00310,CLT0037,POL0121,VEH0003,PRV023,INV00126,2026-08-31,203042,Accident,Rejected,0,Claim description 310
CLM00311,CLT0103,POL0075,VEH0060,PRV001,INV00141,2026-04-06,54432,Glass Damage,Rejected,0,Claim description 311
CLM00312,CLT0051,POL0064,VEH0042,PRV023,INV00189,2026-06-15,107163,Theft,Approved,0,Claim description 312
CLM00313,CLT0011,POL0109,VEH0062,PRV017,INV00196,2026-07-24,243539,Fire,Approved,0,Claim description 313
CLM00314,CLT0084,POL0137,VEH0069,PRV014,INV00049,2026-08-07,22947,Fire,Open,0,Claim description 314
CLM00315,CLT0082,POL0117,VEH0116,PRV009,INV00180,2026-06-09,133973,Accident,Under Review,0,Claim description 315
CLM00316,CLT0007,POL0137,VEH0006,PRV006,INV00027,2026-03-14,122150,Theft,Open,1,Claim description 316
CLM00317,CLT0020,POL0004,VEH0127,PRV007,INV00088,2026-04-18,86677,Natural Disaster,Approved,0,Claim description 317
CLM00318,CLT0060,POL0009,VEH0085,PRV003,INV00216,2026-07-12,43296,Accident,Rejected,1,Claim description 318
CLM00319,CLT0024,POL0050,VEH0065,PRV013,INV00213,2026-01-04,36971,Theft,Rejected,0,Claim description 319
CLM00320,CLT0099,POL0114,VEH0064,PRV024,INV00009,2026-02-20,125805,Accident,Under Review,0,Claim description 320
